config_id,precision,value_bytes,density,phase2_anchor_metadata_ratio,free_support_max_speedup,anchor_storage_speedup_projection,anchor_logical_traffic_reduction
cora_gcnii16,FP32,4,0.7853391127428702,0.6793845781019202,1.03979172753902,1.0124220258810943,0.012269612437840416
cora_gcnii16,FP16,2,0.7853391127428702,0.6793845781019202,1.07958345507804,1.024206871419926,0.023634748111352022
cora_gcnii16,INT8,1,0.7853391127428702,0.6793845781019202,1.15916691015608,1.04605155598827,0.04402417426238825
pubmed_gcnii16,FP32,4,0.6742088655435957,0.618003341025511,1.046350621590839,1.0172127268010929,0.016921462293558953
pubmed_gcnii16,FP16,2,0.6742088655435957,0.618003341025511,1.0927012431816778,1.0334927748893292,0.03240736239584818
pubmed_gcnii16,INT8,1,0.6742088655435957,0.618003341025511,1.1854024863633557,1.0635424745440207,0.05974606192504317
cora_deepres28_w128,FP32,4,0.44088926329394384,0.6147374388386263,1.070879476099116,1.0261670507577152,0.025499796293784294
cora_deepres28_w128,FP16,2,0.44088926329394384,0.6147374388386263,1.1417589521982323,1.0502365740918298,0.04783357895840823
cora_deepres28_w128,INT8,1,0.44088926329394384,0.6147374388386263,1.2835179043964644,1.093016989372487,0.08510113774708028
chameleon_gcnii16,FP32,4,0.7073810850984764,0.9270747557092666,1.044177036477657,1.003094869511048,0.0030853208456310677
chameleon_gcnii16,FP16,2,0.7073810850984764,0.9270747557092666,1.088354072955314,1.005955428277549,0.005920171123035001
chameleon_gcnii16,INT8,1,0.7073810850984764,0.9270747557092666,1.1767081459106281,1.0110725596010874,0.010951300671690811
