path,bytes,sha256,source
chameleon/chameleon/geom_gcn/processed/data.pt,21842965,30aa1f7e76a923d2314ad753633f921fecf34fb36a0bd2ef9f7625bd14fba49c,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/processed/pre_filter.pt,1261,e409ce5b1c6853122a7993c430fafff30751b180097b71368f7268c2288a2cf3,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/processed/pre_transform.pt,1261,e409ce5b1c6853122a7993c430fafff30751b180097b71368f7268c2288a2cf3,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_0.npz,1775,36605525b69be4e7df5b31fe6a1d044288c6ebf9f9f0514ca151f6a36afc5e8b,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_1.npz,1779,d0779d5a1bedf1967d394468a52c0175fb00595d361fba897faf73322386c952,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_2.npz,1777,86ad0d827bf4301dff830598fc0b70d0dd8689c5b4d72dab1d87a6c1970c4c6e,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_3.npz,1755,37b3e994adf3afc55e16b617ed05af4e3ce308800755839084d77eced0528e9d,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_4.npz,1778,f6b1d067b2b330132839d8b6120077bdc6cf759f7ce421f881a02e2953ec4596,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_5.npz,1772,e7661834275c826692510cea0457b18b2c1ee38771f178d06e701b97541a1f6d,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_6.npz,1774,16648d1197c1d3a2dec385346212c382030b0d5a8c997f4255aa2afa68a6b174,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_7.npz,1764,61adcc53846becefecd466a5364dda23b983d387d1ac5d58c6e24d080c0fcba7,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_8.npz,1770,7076ad5341a8218b1f5b6eccf9cfd15d28286ea11ef5c06eeee77af24ff2bf63,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/chameleon_split_0.6_0.2_9.npz,1773,743c4f813bf6130398a6511eb9ff07d2366c73bd6c7fddaf226a3f9e2917e0e7,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/out1_graph_edges.txt,332448,45ac593de9207470090230c8fd76beeb2f60b5371a9be088e8bf31e7f0619a4b,PyG Planetoid/WikipediaNetwork automatic download
chameleon/chameleon/geom_gcn/raw/out1_node_feature_label.txt,10602901,5fd29736ff31b43a1bfcf305bc8b4cffc3103fb0957667976b2ea0f78aedcf5b,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/processed/data.pt,15723733,dd92a36c39958df1f9f02e4e120915ef9997c2f8f8691091dbebff9988584d0e,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/processed/pre_filter.pt,1261,e409ce5b1c6853122a7993c430fafff30751b180097b71368f7268c2288a2cf3,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/processed/pre_transform.pt,1261,e409ce5b1c6853122a7993c430fafff30751b180097b71368f7268c2288a2cf3,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/raw/ind.cora.allx,257305,9419ba2f26f5c35243db64aba110e0f35a04851609e0dc5433450676ca6b8543,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/raw/ind.cora.ally,47959,2b998f5cc7fedc86e7f97ca2498f47a1ffc1462c29e2d578b23bf3f62b6e7d71,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/raw/ind.cora.graph,59847,58f13302f39dde8852dad6fe6d15b89b077b6d7f837626bce671ef80344b383d,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/raw/ind.cora.test.index,5000,297ce89af2b51a6a194181c7dbe1796c6a1cf9cd9349a88383b1b1e227867875,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/raw/ind.cora.tx,148025,b9afbaa4a400df991f6f02ef677e1e44da55ffc04801fd02f9e673987829226a,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/raw/ind.cora.ty,28135,41f5ac76596a1699cc33f53084a2419e92961c42bb75f36fc38e616d348532ad,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/raw/ind.cora.x,22119,23cfa55d91c6f624233f5eb7b6e3f141f1bd2b2ae39608a63cf5d084bb27baab,PyG Planetoid/WikipediaNetwork automatic download
cora/Cora/raw/ind.cora.y,4054,94465c14eb53e04ca262198dcbb2521ee8af60fb3f3d546cd6ca24a511b0e7d1,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/processed/data.pt,41072085,b8e5242ddcbf3ff9dc7bdbb1efeb1049013efc292c2fb7ed2b22fe1bdda9de10,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/processed/pre_filter.pt,1261,e409ce5b1c6853122a7993c430fafff30751b180097b71368f7268c2288a2cf3,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/processed/pre_transform.pt,1261,e409ce5b1c6853122a7993c430fafff30751b180097b71368f7268c2288a2cf3,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/raw/ind.pubmed.allx,7578385,508e538e2abdccdd54c4d3e9f49d638b4af7107d85845f66ddea5a5152658b7e,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/raw/ind.pubmed.ally,224739,0c37bbe3b5014ec365e9d393cf4791925e5ed94fb194305d74f064a8d7b50f0e,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/raw/ind.pubmed.graph,471808,5b89f0036ca22909471f1e6558eb42fa06e0c730a577bde5b058b40638f81dc9,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/raw/ind.pubmed.test.index,6000,b101d421688bbaecbd82e8a18f1e282378d6830f3a37666f28ebc47f844341b5,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/raw/ind.pubmed.tx,405505,4eb5f5d0f30f26497eb0ac6ac9719d09c67e284f1ed0385c93f3ef27a671da3d,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/raw/ind.pubmed.ty,12135,ee2e0d4819d9fbcc403689c3bf2e49face401b605932f093bc58ab6461130fdd,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/raw/ind.pubmed.x,23172,fbe9cb5c47200d1b7769a26e579be3b7130b556831f9d850e77c4c74f2599b33,PyG Planetoid/WikipediaNetwork automatic download
pubmed/PubMed/raw/ind.pubmed.y,854,e6c807633307a07ed659249006536a147c7999c797f11a2560752990181b41b3,PyG Planetoid/WikipediaNetwork automatic download
