config_id,control_type,density,temporal_flip,metadata_reduction,proxy_speedup_rho1_25,byte_ratio_to_best_baseline,window_cluster_gain_over_random
cora_gcnii16,real,0.7853391127428702,0.02690619614721812,0.3100412553410933,1.1860804759284782,0.8824747411750031,0.055002778980496325
cora_gcnii16,temporal_order,0.7730509139586411,0.1034449432237814,0.14159420289855074,1.168093025960209,0.8894026587590782,0.04989420179614945
cora_gcnii16,density_matched_independent,0.7851908696454948,0.3025939731043821,0.0,1.068779858492306,0.9201487474559662,0.0070920729245205205
cora_gcnii16,node_permutation,0.7853391127428702,0.3016150064623338,0.0,1.090240606896243,0.9350879381314706,0.02713548937233279
cora_gcnii16,random_init,0.9464611620838541,0.06150131939315608,0.1556943777030274,1.0290475802217378,1.008054837518464,0.001055109253172537
pubmed_gcnii16,real,0.6742088655435957,0.022178870074047775,0.374807777739808,1.3805640193841477,0.8497024609360003,0.07675252747899974
pubmed_gcnii16,temporal_order,0.6600774151357087,0.09591877409088603,0.17432105481668125,1.3725535354755949,0.856850946130209,0.06798887896549033
pubmed_gcnii16,density_matched_independent,0.6741226089551773,0.38321348645838615,2.4080602593068434e-06,1.1982929963546283,0.9355110801184218,0.006927028200118146
pubmed_gcnii16,node_permutation,0.6742088655435957,0.3828420192600294,2.445753194191269e-06,1.2227934375995055,0.8971397857718739,0.027774675007159688
pubmed_gcnii16,random_init,0.9087945388789838,0.09092995310730165,0.19474847092563874,1.0898943473717178,0.9546964548359284,0.001652925335234201
