config_id,segment_start,layer_offset,panel_builder,panel_id,M,K,N,array_height,array_width,dataflow,scalesim_cycles,scalesim_utilization,execution_count,dense_baseline_cycles,shape_cache_hit,scalesim_run_success,error_message
cora_gcnii16,4,0,P3_COST_AWARE,0,126,8,64,32,32,ws,953.0,14.350797266514808,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,108,8,64,32,32,ws,881.0,13.399503722084368,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,3,116,8,64,32,32,ws,913.0,13.842482100238664,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,111,8,64,32,32,ws,893.0,13.569682151589245,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,119,8,64,32,32,ws,925.0,14.0,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,116,8,64,32,32,ws,913.0,13.842482100238664,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,112,8,64,32,32,ws,897.0,13.62530413625304,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,3,104,8,64,32,32,ws,865.0,13.164556962025316,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,122,8,64,32,32,ws,937.0,14.153132250580049,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,120,8,64,32,32,ws,929.0,14.05152224824356,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,127,8,64,32,32,ws,957.0,14.399092970521542,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,111,8,64,32,32,ws,893.0,13.569682151589245,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,3,109,8,64,32,32,ws,885.0,13.45679012345679,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,116,8,64,32,32,ws,913.0,13.842482100238664,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,119,8,64,32,32,ws,925.0,14.0,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,127,8,64,32,32,ws,957.0,14.399092970521542,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,114,8,64,32,32,ws,905.0,13.734939759036145,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,120,8,64,32,32,ws,929.0,14.05152224824356,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,120,8,64,32,32,ws,929.0,14.05152224824356,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,103,8,64,32,32,ws,861.0,13.104325699745548,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,105,8,64,32,32,ws,869.0,13.224181360201513,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,104,8,64,32,32,ws,865.0,13.164556962025316,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,1,110,8,64,32,32,ws,889.0,13.513513513513514,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,99,8,64,32,32,ws,845.0,12.857142857142858,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,116,8,64,32,32,ws,913.0,13.842482100238664,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,119,8,64,32,32,ws,925.0,14.0,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,7,108,8,64,32,32,ws,881.0,13.399503722084368,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,1,108,8,64,32,32,ws,881.0,13.399503722084368,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,111,8,64,32,32,ws,893.0,13.569682151589245,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,118,8,64,32,32,ws,921.0,13.947990543735225,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,116,8,64,32,32,ws,913.0,13.842482100238664,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,3,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,126,8,64,32,32,ws,953.0,14.350797266514808,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,126,8,64,32,32,ws,953.0,14.350797266514808,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,1,125,8,64,32,32,ws,949.0,14.302059496567503,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,95,8,64,32,32,ws,829.0,12.59946949602122,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,92,8,64,32,32,ws,817.0,12.398921832884096,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,7,86,8,64,32,32,ws,793.0,11.977715877437326,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,127,8,64,32,32,ws,957.0,14.399092970521542,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,1,120,8,64,32,32,ws,929.0,14.05152224824356,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,112,8,64,32,32,ws,897.0,13.62530413625304,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,123,8,64,32,32,ws,941.0,14.20323325635104,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,120,8,64,32,32,ws,929.0,14.05152224824356,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,7,120,8,64,32,32,ws,929.0,14.05152224824356,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,1,124,8,64,32,32,ws,945.0,14.25287356321839,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,124,8,64,32,32,ws,945.0,14.25287356321839,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,123,8,64,32,32,ws,941.0,14.20323325635104,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,124,8,64,32,32,ws,945.0,14.25287356321839,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,7,96,8,64,32,32,ws,833.0,12.66490765171504,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,1,120,8,64,32,32,ws,929.0,14.05152224824356,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,123,8,64,32,32,ws,941.0,14.20323325635104,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,3,122,8,64,32,32,ws,937.0,14.153132250580049,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,104,8,64,32,32,ws,865.0,13.164556962025316,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,1,116,8,64,32,32,ws,913.0,13.842482100238664,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,2,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,3,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,4,121,8,64,32,32,ws,933.0,14.102564102564102,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,5,124,8,64,32,32,ws,945.0,14.25287356321839,13,52446.0,True,True,
cora_gcnii16,4,0,P3_COST_AWARE,0,128,8,64,32,32,ws,961.0,14.446952595936796,13,52446.0,True,True,
