config_id,control_type,density,support_ratio_to_beicsr,metadata_reduction,exact_decode_pass,control_support_ratio_over_real,real_support_ratio_advantage
cora_gcnii16,real_fp8,0.7787742515055107,0.4254062038404727,0.5745937961595273,True,1.0,0.0
cora_gcnii16,density_matched_independent,0.7785456730769231,1.0771503238268378,-0.07715032382683784,True,2.532051282051282,0.6517441199863652
cora_gcnii16,node_permuted,0.7787742515055107,1.0780593114418815,-0.0780593114418815,True,2.534188034188034,0.6526531076014088
pubmed_gcnii16,real_fp8,0.6601127711931524,0.38610960475341466,0.6138903952465853,True,1.0,0.0
pubmed_gcnii16,density_matched_independent,0.6600605905290632,1.1347334006967826,-0.13473340069678263,True,2.938889337967828,0.7486237959433679
pubmed_gcnii16,node_permuted,0.6601127711931524,1.1036785905173592,-0.10367859051735917,True,2.85845929997575,0.7175689857639445
cora_deepres28_w128,real_fp8,0.440464364844904,0.6784638109305761,0.32153618906942394,True,1.0,0.0
cora_deepres28_w128,density_matched_independent,0.4407060099704579,1.0638109305760708,-0.06381093057607079,True,1.5679700426717755,0.38534711964549473
cora_deepres28_w128,node_permuted,0.440464364844904,1.0600886262924667,-0.060088626292466696,True,1.5624836715144126,0.38162481536189063
chameleon_gcnii16,real_fp8,0.5087555107935543,0.44376879159487853,0.5562312084051215,True,1.0,0.0
chameleon_gcnii16,density_matched_independent,0.5089555673794804,1.1232052971183406,-0.1232052971183406,True,2.531059683313033,0.6794365055234621
chameleon_gcnii16,node_permuted,0.5087555107935543,1.1123948515252864,-0.11239485152528639,True,2.5066991473812426,0.6686260599304079
